"id","slope_id","location","mileage","direction"
"slope_3a8b2a14f76a","slope_3a8b2a14f76a","","",""
"slope_c5ec3bf95739","slope_c5ec3bf95739","","",""
"slope_65e90256be98","slope_65e90256be98","","",""
"slope_9ae6657bd284","slope_9ae6657bd284","","",""
"slope_075641527d4f","slope_075641527d4f","","",""
"slope_91200745275a","slope_91200745275a","","",""
"slope_77a3e604c931","slope_77a3e604c931","","",""
"slope_8f1e47492f39","slope_8f1e47492f39","","",""
"slope_212090a18536","slope_212090a18536","","",""
"slope_5bbea36e92b1","slope_5bbea36e92b1","","",""
"slope_721f1403b6e1","slope_721f1403b6e1","","",""
"slope_331cec88a3e0","slope_331cec88a3e0","","",""
"slope_cf67c2f23b82","slope_cf67c2f23b82","","",""
"slope_63d97a4e304d","slope_63d97a4e304d","","",""
"slope_0cead6de2e59","slope_0cead6de2e59","","",""
"slope_30445587b5ed","slope_30445587b5ed","","",""
"slope_60724ae0577d","slope_60724ae0577d","","",""
"slope_100fb22e9c6d","slope_100fb22e9c6d","","",""
"slope_bfd5b98eda7e","slope_bfd5b98eda7e","","",""
"slope_85bff8dac5dc","slope_85bff8dac5dc","","",""
"slope_6a382b7337dc","slope_6a382b7337dc","","",""
"slope_1e1679ad31ce","slope_1e1679ad31ce","","",""
"slope_d28fd4091811","slope_d28fd4091811","","",""
"slope_4c1cdc15343c","slope_4c1cdc15343c","","",""
"slope_14cc6b15235f","slope_14cc6b15235f","","",""
"slope_2fa363324ee7","slope_2fa363324ee7","","",""
"slope_809eb2b33045","slope_809eb2b33045","","",""
"slope_838e24748864","slope_838e24748864","","",""
"slope_9c749c2a9641","slope_9c749c2a9641","","",""
"slope_a391646b04df","slope_a391646b04df","","",""
"slope_7dc7d3dfee37","slope_7dc7d3dfee37","","",""
"slope_6f2991d0008c","slope_6f2991d0008c","","",""
"slope_474bbea3259e","slope_474bbea3259e","","",""
"slope_e84fa6660725","slope_e84fa6660725","","",""
"slope_1201514406b0","slope_1201514406b0","","",""
"slope_23f01395ee8c","slope_23f01395ee8c","","",""
"slope_3d60133018f3","slope_3d60133018f3","","",""
"slope_c02df7a15130","slope_c02df7a15130","","",""
"slope_769567312555","slope_769567312555","","",""
"slope_01ac09d485ab","slope_01ac09d485ab","","",""
"slope_c6a22593c1b8","slope_c6a22593c1b8","","",""
"slope_b17097e5967b","slope_b17097e5967b","","",""
"slope_d0e273e735f1","slope_d0e273e735f1","","",""
"slope_520032246570","slope_520032246570","","",""
"slope_99d173606cb0","slope_99d173606cb0","","",""
"slope_8924da13c101","slope_8924da13c101","","",""
"slope_d9f90f91d9f0","slope_d9f90f91d9f0","","",""
"slope_a9820c54699a","slope_a9820c54699a","","",""
"slope_65ea4d6fd932","slope_65ea4d6fd932","","",""
"slope_ba897977e531","slope_ba897977e531","","",""
"slope_b990d62caa77","slope_b990d62caa77","","",""
"slope_305c1353aa66","slope_305c1353aa66","","",""
"slope_5da3f498da79","slope_5da3f498da79","","",""
"slope_f1cbf1d44fa9","slope_f1cbf1d44fa9","","",""
"slope_b3c80a5d2017","slope_b3c80a5d2017","","",""
"slope_5964337218f0","slope_5964337218f0","","",""
"slope_32ceb5034e4a","slope_32ceb5034e4a","","",""
"slope_2075bd059013","slope_2075bd059013","","",""
"slope_2eaef6bfd3db","slope_2eaef6bfd3db","","",""
"slope_6416e9bf4462","slope_6416e9bf4462","","",""
"slope_5e918228096c","slope_5e918228096c","","",""
"slope_c377ea97b4d0","slope_c377ea97b4d0","","",""
"slope_6409e9e594e1","slope_6409e9e594e1","","",""
"slope_1a7e3ed0035d","slope_1a7e3ed0035d","","",""
"slope_fc60a7061680","slope_fc60a7061680","","",""
"slope_3d9b7154fc39","slope_3d9b7154fc39","","",""
"slope_052f12b9df1b","slope_052f12b9df1b","","",""
"slope_b742fd7ef207","slope_b742fd7ef207","","",""
"slope_08cec1b63062","slope_08cec1b63062","","",""
"slope_6b3a982a8673","slope_6b3a982a8673","","",""
"slope_ffd57cf015b4","slope_ffd57cf015b4","","",""
"slope_a52a4f384db9","slope_a52a4f384db9","","",""
"slope_a1363764b3b0","slope_a1363764b3b0","","",""
"slope_82a045923ae5","slope_82a045923ae5","","",""
"slope_5f34d6d93d9f","slope_5f34d6d93d9f","","",""
"slope_6cbb98153070","slope_6cbb98153070","","",""
"slope_e9ff274e1d22","slope_e9ff274e1d22","","",""
"slope_9d8c5521dc87","slope_9d8c5521dc87","","",""
"slope_46cf8a2885dc","slope_46cf8a2885dc","","",""
"slope_38f053a9f490","slope_38f053a9f490","","",""
"slope_3bd10cfd500e","slope_3bd10cfd500e","","",""
"slope_695b2ad4c50d","slope_695b2ad4c50d","","",""
"slope_842fb9fbb131","slope_842fb9fbb131","","",""
