"start_id","end_id","type"
"KU_JTG_D30_2015_3_5f6a8b3e","clause_3970052114fd","FROM_CLAUSE"
"KU_JTG_5110_2023_4.4.3_8a9b2c1d","clause_67cb7db4161c","FROM_CLAUSE"
"KU_JTG_5110_2023_4.4.3_3e4f7g8h","clause_67cb7db4161c","FROM_CLAUSE"
"KU_JTG_5110_2023_6_8f3a1b2c","clause_4327862718c2","FROM_CLAUSE"
"measure_bd8bbb948b94","KU_JTG_5110_2023_6_8f3a1b2c","DERIVED_FROM"
"KU_JTG_5150_2020_2.1.12_6a8b3c1d","clause_a23e4394ddb9","FROM_CLAUSE"
"KU_JTG_5150_2020_2.1.13_8f1a2b3c","clause_6a864860c8a1","FROM_CLAUSE"
"KU_JTG_5150_2020_2.1.19_8a7b6c5d","clause_d4ec1fb51829","FROM_CLAUSE"
"KU_JTG_5150_2020_4.2.2_8f3a1b2c","clause_24c96fbf88a6","FROM_CLAUSE"
"KU_JTG_5150_2020_1_8a9b2c1d","clause_401ebc94be54","FROM_CLAUSE"
"KU_JTG_5150_2020_1_3e4f7a8b","clause_401ebc94be54","FROM_CLAUSE"
"KU_JTG_5150_2020_1_5c6d9e0f","clause_401ebc94be54","FROM_CLAUSE"
"KU_JTG_5150_2020_2_8a7f3b1c","clause_12d539ecba6a","FROM_CLAUSE"
"KU_JTG_5150_2020_4.2.4_8a7b6c5d","clause_9d8999adb8b8","FROM_CLAUSE"
"KU_JTG_5150_2020_1_8a7f3b1c","clause_401ebc94be54","FROM_CLAUSE"
"KU_JTG_5150_2020_2_8a7f3c1d","clause_12d539ecba6a","FROM_CLAUSE"
"KU_JTG_5150_2020_4.2.5_8a9b2c1d","clause_6396b099f3dc","FROM_CLAUSE"
"KU_JTG_5150_2020_3_8a7b2c1d","clause_21896731e598","FROM_CLAUSE"
"KU_JTG_5150_2020_4.2.6_8f3a1b2c","clause_c21ba8cb8ee6","FROM_CLAUSE"
"KU_JTG_5150_2020_1_8a7f3b1e","clause_401ebc94be54","FROM_CLAUSE"
"KU_JTG_5150_2020_2_8a9b2c1d","clause_12d539ecba6a","FROM_CLAUSE"
"KU_JTG_5150_2020_3_8a7f2b1c","clause_21896731e598","FROM_CLAUSE"
"KU_JTG_5150_2020_7_8a9b2c1d","clause_0fa557d89ebd","FROM_CLAUSE"
"rule_3e493c45d880","KU_JTG_5150_2020_7_8a9b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_7_3e4f7a8b","clause_0fa557d89ebd","FROM_CLAUSE"
"KU_JTG_5150_2020_10_8a7b3c9d","clause_0b4f0b612fe9","FROM_CLAUSE"
"rule_e3d95ebbdd7b","KU_JTG_5150_2020_10_8a7b3c9d","DERIVED_FROM"
"KU_JTG_5150_2020_13_8a9b2c1d","clause_5be9b3670554","FROM_CLAUSE"
"rule_1118a1f244ad","KU_JTG_5150_2020_13_8a9b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_15_3a7b2c9d","clause_e452594a6b5f","FROM_CLAUSE"
"rule_ace6ae3fb4ac","KU_JTG_5150_2020_15_3a7b2c9d","DERIVED_FROM"
"KU_JTG_5150_2020_15_8e1f4a6b","clause_e452594a6b5f","FROM_CLAUSE"
"rule_f7834ed1af02","KU_JTG_5150_2020_15_8e1f4a6b","DERIVED_FROM"
"KU_JTG_5150_2020_15_d2c5e8f1","clause_e452594a6b5f","FROM_CLAUSE"
"rule_88d6adb24583","KU_JTG_5150_2020_15_d2c5e8f1","DERIVED_FROM"
"KU_JTG_5150_2020_18_7a8b9c0d","clause_486165186c10","FROM_CLAUSE"
"KU_JTG_5150_2020_18_e1f2a3b4","clause_486165186c10","FROM_CLAUSE"
"rule_fe33cbebc445","KU_JTG_5150_2020_18_e1f2a3b4","DERIVED_FROM"
"KU_JTG_5150_2020_2_8a7b3c9d","clause_12d539ecba6a","FROM_CLAUSE"
"KU_JTG_5150_2020__a4f7c2e1","clause_414587490bbb","FROM_CLAUSE"
"KU_JTG_5150_2020__a7b8c9d0","clause_414587490bbb","FROM_CLAUSE"
"rule_d8406bed3152","KU_JTG_5150_2020__a7b8c9d0","DERIVED_FROM"
"KU_JTG_5150_2020__a1b2c3d4","clause_414587490bbb","FROM_CLAUSE"
"rule_61b32dbe2165","KU_JTG_5150_2020__a1b2c3d4","DERIVED_FROM"
"KU_JTG_5150_2020__e5f6g7h8","clause_414587490bbb","FROM_CLAUSE"
"rule_93cbe44187d5","KU_JTG_5150_2020__e5f6g7h8","DERIVED_FROM"
"KU_JTG_5150_2020_4.4.9_8a7b6c5d","clause_a05776090169","FROM_CLAUSE"
"rule_32224471757c","KU_JTG_5150_2020_4.4.9_8a7b6c5d","DERIVED_FROM"
"KU_JTG_5150_2020_3_8a9b2c1d","clause_21896731e598","FROM_CLAUSE"
"KU_JTG_5150_2020_3_7e8f3a4b","clause_21896731e598","FROM_CLAUSE"
"KU_JTG_5150_2020_3_5c6d1e2f","clause_21896731e598","FROM_CLAUSE"
"KU_JTG_5150_2020_4_8a9b2c1d","clause_7577ffba12b7","FROM_CLAUSE"
"KU_JTG_5150_2020_1_8a7b3c9d","clause_401ebc94be54","FROM_CLAUSE"
"KU_JTG_5150_2020_1_2e4f6a8b","clause_401ebc94be54","FROM_CLAUSE"
"KU_JTG_5150_2020_2_1f4e6a2b","clause_12d539ecba6a","FROM_CLAUSE"
"KU_JTG_5150_2020_2_8a3b4c5d","clause_12d539ecba6a","FROM_CLAUSE"
"measure_57f9a28fd5bb","KU_JTG_5150_2020_2_8a3b4c5d","DERIVED_FROM"
"KU_JTG_5150_2020_7.1.2_8a9b2c1d","clause_dc0df6157d2d","FROM_CLAUSE"
"measure_370474ce35bb","KU_JTG_5150_2020_7.1.2_8a9b2c1d","DERIVED_FROM"
"measure_30a19ebb7649","KU_JTG_5150_2020_4_8a9b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_4_5f6e7a8b","clause_7577ffba12b7","FROM_CLAUSE"
"rule_e8f66a02bf8a","KU_JTG_5150_2020_4_5f6e7a8b","DERIVED_FROM"
"KU_JTG_5150_2020_8.1.2_4a7b2c9d","clause_0283df9cceb3","FROM_CLAUSE"
"measure_6b349cb9f2aa","KU_JTG_5150_2020_8.1.2_4a7b2c9d","DERIVED_FROM"
"KU_JTG_5150_2020_8.2.1_6a7b8c9d","clause_0d656099af9e","FROM_CLAUSE"
"KU_JTG_5150_2020_8.4.6_7a8b9c0d","clause_148a03da2408","FROM_CLAUSE"
"KU_JTG_5150_2020_8.4.6_1e2f3a4b","clause_148a03da2408","FROM_CLAUSE"
"KU_JTG_5150_2020_8.4.6_5c6d7e8f","clause_148a03da2408","FROM_CLAUSE"
"KU_JTG_5150_2020_9.1.1_8f3a1b2c","clause_c69f5ccd7432","FROM_CLAUSE"
"KU_JTG_5150_2020_9.2.1_8f3a1b2c","clause_d0e64bec6eee","FROM_CLAUSE"
"measure_51a8d46c771c","KU_JTG_5150_2020_9.2.1_8f3a1b2c","DERIVED_FROM"
"KU_JTG_5150_2020_9.2.2_4a7b2c9d","clause_4b293597f69e","FROM_CLAUSE"
"measure_c0bc106acc92","KU_JTG_5150_2020_9.2.2_4a7b2c9d","DERIVED_FROM"
"KU_JTG_5150_2020_9.2.3_8f1a2b3c","clause_d19f53ad5db0","FROM_CLAUSE"
"measure_7d5f9736c24d","KU_JTG_5150_2020_9.2.3_8f1a2b3c","DERIVED_FROM"
"KU_JTG_5150_2020_9.2.4_8a7b6c5d","clause_4fa73027e932","FROM_CLAUSE"
"measure_f13de69cf503","KU_JTG_5150_2020_9.2.4_8a7b6c5d","DERIVED_FROM"
"KU_JTG_5150_2020_9.2.4_3e2f1a9b","clause_4fa73027e932","FROM_CLAUSE"
"measure_2c08525455fc","KU_JTG_5150_2020_9.2.4_3e2f1a9b","DERIVED_FROM"
"KU_JTG_5150_2020_9.2.5_8a7b3c1d","clause_398c082ce83e","FROM_CLAUSE"
"measure_040ee61299c2","KU_JTG_5150_2020_9.2.5_8a7b3c1d","DERIVED_FROM"
"KU_JTG_5150_2020_9.2.5_5e2f6a8b","clause_398c082ce83e","FROM_CLAUSE"
"measure_3c7ff37ff3ec","KU_JTG_5150_2020_9.2.5_5e2f6a8b","DERIVED_FROM"
"KU_JTG_5150_2020_9.2.5_9c4d1e7f","clause_398c082ce83e","FROM_CLAUSE"
"measure_f8e8dedf8ad3","KU_JTG_5150_2020_9.2.5_9c4d1e7f","DERIVED_FROM"
"KU_JTG_5150_2020_9.2.6_8f3a1b2c","clause_7b6def823924","FROM_CLAUSE"
"measure_c84d489267b0","KU_JTG_5150_2020_9.2.6_8f3a1b2c","DERIVED_FROM"
"KU_JTG_5150_2020_9.2.7_6a8b3c1d","clause_dfaa1cbd0b83","FROM_CLAUSE"
"measure_fe9ff301c1de","KU_JTG_5150_2020_9.2.7_6a8b3c1d","DERIVED_FROM"
"KU_JTG_5150_2020_9.3.1_8f1a2b3c","clause_a00a934a7d79","FROM_CLAUSE"
"measure_92d53acccea4","KU_JTG_5150_2020_9.3.1_8f1a2b3c","DERIVED_FROM"
"KU_JTG_5150_2020__9.3.2_a1b2c3d4","clause_2652e015ffb5","FROM_CLAUSE"
"measure_3360d82bf37e","KU_JTG_5150_2020__9.3.2_a1b2c3d4","DERIVED_FROM"
"KU_JTG_5150_2020__9.3.2_e5f6g7h8","clause_2652e015ffb5","FROM_CLAUSE"
"measure_dcb6025eeea1","KU_JTG_5150_2020__9.3.2_e5f6g7h8","DERIVED_FROM"
"KU_JTG_5150_2020__9.3.2_i9j0k1l2","clause_2652e015ffb5","FROM_CLAUSE"
"measure_0826e945df66","KU_JTG_5150_2020__9.3.2_i9j0k1l2","DERIVED_FROM"
"KU_JTG_5150_2020_9.3.3_8a7b6c5d","clause_c9f6fce26797","FROM_CLAUSE"
"measure_819bc7c49123","KU_JTG_5150_2020_9.3.3_8a7b6c5d","DERIVED_FROM"
"KU_JTG_5150_2020_9.3.4_8a7b6c5d","clause_151eb72b4342","FROM_CLAUSE"
"measure_f3b1fc9c525d","KU_JTG_5150_2020_9.3.4_8a7b6c5d","DERIVED_FROM"
"KU_JTG_5150_2020_9.3.5_8a7b6c5d","clause_08e73a8064c7","FROM_CLAUSE"
"measure_a3651486f0b9","KU_JTG_5150_2020_9.3.5_8a7b6c5d","DERIVED_FROM"
"KU_JTG_5150_2020_9.3.6_8a7b6c5d","clause_13953bf7a098","FROM_CLAUSE"
"measure_3c3e17d24449","KU_JTG_5150_2020_9.3.6_8a7b6c5d","DERIVED_FROM"
"KU_JTG_5150_2020_9.4.1_8a7b3c2d","clause_2d7321950782","FROM_CLAUSE"
"measure_ac923963824d","KU_JTG_5150_2020_9.4.1_8a7b3c2d","DERIVED_FROM"
"KU_JTG_5150_2020_9.4.1_f1e2d3c4","clause_2d7321950782","FROM_CLAUSE"
"measure_ff53bddbdaf1","KU_JTG_5150_2020_9.4.1_f1e2d3c4","DERIVED_FROM"
"KU_JTG_5150_2020_9.4.3_8a7b6c5d","clause_80d415555e04","FROM_CLAUSE"
"measure_7fa7d422f7fe","KU_JTG_5150_2020_9.4.3_8a7b6c5d","DERIVED_FROM"
"KU_JTG_5150_2020_9.4.4_8a7b6c5d","clause_6ed4d9134b19","FROM_CLAUSE"
"measure_fb33c3f56d97","KU_JTG_5150_2020_9.4.4_8a7b6c5d","DERIVED_FROM"
"KU_JTG_5150_2020_9.5.1_8a7b6c5d","clause_b863270a7208","FROM_CLAUSE"
"KU_JTG_5150_2020_9.5.1_e4f3g2h1","clause_b863270a7208","FROM_CLAUSE"
"measure_ccdf01099ef3","KU_JTG_5150_2020_9.5.1_e4f3g2h1","DERIVED_FROM"
"KU_JTG_5150_2020_9.5.2_8a7b6c5d","clause_ff5413ad1923","FROM_CLAUSE"
"measure_5a2608f97d69","KU_JTG_5150_2020_9.5.2_8a7b6c5d","DERIVED_FROM"
"KU_JTG_5150_2020_9.5.3_8f1a2b3c","clause_866ef71e26c4","FROM_CLAUSE"
"measure_c77c826d0c44","KU_JTG_5150_2020_9.5.3_8f1a2b3c","DERIVED_FROM"
"KU_JTG_5150_2020_9.5.4_8a7b2c1d","clause_add4d4ae6771","FROM_CLAUSE"
"measure_b9311fba1040","KU_JTG_5150_2020_9.5.4_8a7b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_10.1.1_8f3a1b2c","clause_2752829e2040","FROM_CLAUSE"
"KU_JTG_5150_2020_10.2.1_8f3a1b2c","clause_3f7170f7ac57","FROM_CLAUSE"
"KU_JTG_5150_2020_10.2.1_d4e5f6a7","clause_3f7170f7ac57","FROM_CLAUSE"
"KU_JTG_5150_2020_10.2.1_b8c9d0e1","clause_3f7170f7ac57","FROM_CLAUSE"
"measure_3fc28a8f196b","KU_JTG_5150_2020_10.2.1_b8c9d0e1","DERIVED_FROM"
"measure_812ec4cabbbb","KU_JTG_5150_2020_1_8a7b3c9d","DERIVED_FROM"
"KU_JTG_5150_2020_1_1f2a8b4e","clause_401ebc94be54","FROM_CLAUSE"
"measure_2f207ac3c2d2","KU_JTG_5150_2020_3_8a7b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_10.2.4_8f3a1b2c","clause_9c21244eb9c3","FROM_CLAUSE"
"measure_cb288af7c1d1","KU_JTG_5150_2020_10.2.4_8f3a1b2c","DERIVED_FROM"
"KU_JTG_5150_2020_10.2.5_8a9b0c1d","clause_d8796f36ba0d","FROM_CLAUSE"
"KU_JTG_5150_2020_1_8a9b2c3d","clause_401ebc94be54","FROM_CLAUSE"
"measure_89b8871f6ed7","KU_JTG_5150_2020_1_8a9b2c3d","DERIVED_FROM"
"KU_JTG_5150_2020_10.2.7_8a9b2c1d","clause_902321b3c336","FROM_CLAUSE"
"measure_7b6005a7d515","KU_JTG_5150_2020_10.2.7_8a9b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_10.2.7_f3e4a7b8","clause_902321b3c336","FROM_CLAUSE"
"measure_e5d4ef1a2e3a","KU_JTG_5150_2020_10.2.7_f3e4a7b8","DERIVED_FROM"
"KU_JTG_5150_2020_10.2.8_4e8a2b1c","clause_6353a80881bf","FROM_CLAUSE"
"measure_7fe85dafecda","KU_JTG_5150_2020_10.2.8_4e8a2b1c","DERIVED_FROM"
"KU_JTG_5150_2020_10.2.8_9f3d7a6e","clause_6353a80881bf","FROM_CLAUSE"
"measure_76ea62a43d2c","KU_JTG_5150_2020_10.2.8_9f3d7a6e","DERIVED_FROM"
"KU_JTG_5150_2020_10.3.1_8f1a2b3c","clause_7cb778d12bed","FROM_CLAUSE"
"measure_f2cbe1daa3c1","KU_JTG_5150_2020_10.3.1_8f1a2b3c","DERIVED_FROM"
"measure_4ffacc39c933","KU_JTG_5150_2020_2_8a7b3c9d","DERIVED_FROM"
"KU_JTG_5150_2020_2_1e2f4a6b","clause_12d539ecba6a","FROM_CLAUSE"
"KU_JTG_5150_2020_4_8e9f2a1c","clause_7577ffba12b7","FROM_CLAUSE"
"measure_e0a5716f2cf4","KU_JTG_5150_2020_4_8e9f2a1c","DERIVED_FROM"
"KU_JTG_5150_2020_10.3.3_6a7b8c9d","clause_2380bd06b7c6","FROM_CLAUSE"
"measure_6469c8e4050b","KU_JTG_5150_2020_10.3.3_6a7b8c9d","DERIVED_FROM"
"KU_JTG_5150_2020_1_8a7b2c1d","clause_401ebc94be54","FROM_CLAUSE"
"measure_53a48feedb6a","KU_JTG_5150_2020_1_8a7b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_1_3e9f4a2b","clause_401ebc94be54","FROM_CLAUSE"
"measure_6bd21114ac38","KU_JTG_5150_2020_1_3e9f4a2b","DERIVED_FROM"
"KU_JTG_5150_2020_2_1f2e4a8c","clause_12d539ecba6a","FROM_CLAUSE"
"measure_c8ad613ec79f","KU_JTG_5150_2020_2_1f2e4a8c","DERIVED_FROM"
"KU_JTG_5150_2020_2_5d6b9e2f","clause_12d539ecba6a","FROM_CLAUSE"
"measure_7bf4ef2fbdab","KU_JTG_5150_2020_2_5d6b9e2f","DERIVED_FROM"
"KU_JTG_5150_2020_5_8a9b2c1d","clause_14a788523a33","FROM_CLAUSE"
"measure_990b75b142dd","KU_JTG_5150_2020_5_8a9b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_6_8a7b3c9d","clause_ce245d9dbda0","FROM_CLAUSE"
"measure_6940c54cf467","KU_JTG_5150_2020_6_8a7b3c9d","DERIVED_FROM"
"measure_cc3a3a1ba6f6","KU_JTG_5150_2020_3_8a9b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_3_5e6f7g8h","clause_21896731e598","FROM_CLAUSE"
"KU_JTG_5150_2020_2_8a9b2c3d","clause_12d539ecba6a","FROM_CLAUSE"
"measure_e8e89ebfbbb0","KU_JTG_5150_2020_2_8a9b2c3d","DERIVED_FROM"
"KU_JTG_5150_2020_2_1e2f4g5h","clause_12d539ecba6a","FROM_CLAUSE"
"KU_JTG_5150_2020_2_4e5f6g7h","clause_12d539ecba6a","FROM_CLAUSE"
"measure_626c7a7d1730","KU_JTG_5150_2020_2_4e5f6g7h","DERIVED_FROM"
"KU_JTG_5150_2020_2_1i2j3k4l","clause_12d539ecba6a","FROM_CLAUSE"
"measure_859b94fc34d3","KU_JTG_5150_2020_2_1i2j3k4l","DERIVED_FROM"
"measure_ce8d624cb636","KU_JTG_5150_2020_2_8a9b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_3_8a7f3b1c","clause_21896731e598","FROM_CLAUSE"
"measure_5e828a147d4a","KU_JTG_5150_2020_1_8a9b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_11.7.6_8a9b2c1d","clause_4cea38f58517","FROM_CLAUSE"
"measure_c7c3c98374de","KU_JTG_5150_2020_11.7.6_8a9b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_4_8a7b2c1d","clause_7577ffba12b7","FROM_CLAUSE"
"measure_fdddbd95efd1","KU_JTG_5150_2020_4_8a7b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_4_3e9f4a2b","clause_7577ffba12b7","FROM_CLAUSE"
"measure_a69d7523ff62","KU_JTG_5150_2020_4_3e9f4a2b","DERIVED_FROM"
"rule_e82d568857cb","KU_JTG_5150_2020_2_1e2f4g5h","DERIVED_FROM"
"KU_JTG_5150_2020_2_6i7j8k9l","clause_12d539ecba6a","FROM_CLAUSE"
"KU_JTG_5150_2020__i9j0k1l2","clause_414587490bbb","FROM_CLAUSE"
"KU_JTG_5150_2020_9.5.2_f1e2d3c4","clause_ff5413ad1923","FROM_CLAUSE"
"measure_3743a98e93c7","KU_JTG_5150_2020_9.5.2_f1e2d3c4","DERIVED_FROM"
"KU_JTG_5150_2020_10.1.1_6a7b8c9d","clause_2752829e2040","FROM_CLAUSE"
"measure_3cb2e1f3f835","KU_JTG_5150_2020_10.1.1_6a7b8c9d","DERIVED_FROM"
"KU_JTG_5150_2020_10.1.1_e1f2g3h4","clause_2752829e2040","FROM_CLAUSE"
"measure_c7a778162cd0","KU_JTG_5150_2020_10.1.1_e1f2g3h4","DERIVED_FROM"
"KU_JTG_5150_2020_10.3.1_8a9b2c1d","clause_7cb778d12bed","FROM_CLAUSE"
"rule_1b9af9aabdd1","KU_JTG_5150_2020_10.3.1_8a9b2c1d","DERIVED_FROM"
"KU_JTG_5150_2020_10.3.1_f3e7a9b2","clause_7cb778d12bed","FROM_CLAUSE"
"measure_5f1a51576a64","KU_JTG_5150_2020_10.3.1_f3e7a9b2","DERIVED_FROM"
"term_23760705f0d6","KU_JTG_5210_2018_7.2.3_4a7b2c9d","MENTIONED_IN_KU"
"term_23760705f0d6","KU_JTG_5210_2018_7.3.1_9e3f7a4b","MENTIONED_IN_KU"
"term_23760705f0d6","KU_JTG_5210_2018_7.3.1_6a8b2c1d","MENTIONED_IN_KU"
"term_23760705f0d6","KU_JTG_5210_2018_2_6a7b8c9d","MENTIONED_IN_KU"
"term_23760705f0d6","KU_JTG_5210_2018_5.1.2_6a7b8c9d","MENTIONED_IN_KU"
"term_64820b411f57","KU_JTG_5210_2018_5.1.2_6a7b8c9d","MENTIONED_IN_KU"
"term_41d86b322f89","KU_JTG_5210_2018_5.1.2_6a7b8c9d","MENTIONED_IN_KU"
"term_95e493d92210","KU_JTG_5150_2020__a1b2c3d4","MENTIONED_IN_KU"
"term_95e493d92210","KU_JTG_5150_2020_2_8a7f3c1d","MENTIONED_IN_KU"
"term_95e493d92210","KU_JTG_5210_2018_5.1.2_6a7b8c9d","MENTIONED_IN_KU"
"term_467816308243","KU_JTG_5210_2018_5.1.2_6a7b8c9d","MENTIONED_IN_KU"
"term_467816308243","KU_JTG_5150_2020__e5f6g7h8","MENTIONED_IN_KU"
"term_467816308243","KU_JTG_5150_2020_4.2.4_8a7b6c5d","MENTIONED_IN_KU"
"term_467816308243","KU_JTG_5150_2020_3_5c6d1e2f","MENTIONED_IN_KU"
"term_467816308243","KU_JTG_5150_2020_1_2e4f6a8b","MENTIONED_IN_KU"
"term_20cfaf9569bf","KU_JTG_5210_2018_2_1e2f3g4h","MENTIONED_IN_KU"
"term_20cfaf9569bf","KU_JTG_5210_2018_5.1.3_6a7b8c9d","MENTIONED_IN_KU"
"term_55d093a130b5","KU_JTG_5210_2018_5.1.3_6a7b8c9d","MENTIONED_IN_KU"
"term_aa04e70f0b49","KU_JTG_5210_2018_5.1.3_6a7b8c9d","MENTIONED_IN_KU"
"term_f228d9e8128f","KU_JTG_5210_2018_5.1.3_6a7b8c9d","MENTIONED_IN_KU"
"term_b49ea4c1a8d8","KU_JTG_5210_2018_5.1.4_6a7b8c9d","MENTIONED_IN_KU"
"term_db4e84241e46","KU_JTG_5210_2018_5.1.4_6a7b8c9d","MENTIONED_IN_KU"
"term_35232a52c1f9","KU_JTG_5210_2018_5.1.4_6a7b8c9d","MENTIONED_IN_KU"
"term_339ab3b03749","KU_JTG_5210_2018_5.1.4_6a7b8c9d","MENTIONED_IN_KU"
"term_2615eed20a2d","KU_JTG_5210_2018_5.1.4_6a7b8c9d","MENTIONED_IN_KU"
"term_5751fba7bd32","KU_JTG_5210_2018_5.1.4_6a7b8c9d","MENTIONED_IN_KU"
"term_5751fba7bd32","KU_JTG_5150_2020_3_8a7b2c1d","MENTIONED_IN_KU"
"term_5751fba7bd32","KU_JTG_5150_2020_4.2.5_8a9b2c1d","MENTIONED_IN_KU"
"term_5751fba7bd32","KU_JTG_5150_2020__a7b8c9d0","MENTIONED_IN_KU"
"term_5751fba7bd32","KU_JTG_5150_2020_4_8a9b2c1d","MENTIONED_IN_KU"
"term_a1259847abc4","KU_JTG_5210_2018_5.1.4_6a7b8c9d","MENTIONED_IN_KU"
"term_e570fb8839ba","KU_JTG_5210_2018_1_6a7b8c9d","MENTIONED_IN_KU"
"term_cd1fa474b9ab","KU_JTG_5210_2018_1_6a7b8c9d","MENTIONED_IN_KU"
"term_e9342df9f6aa","KU_JTG_5210_2018_1_6a7b8c9d","MENTIONED_IN_KU"
"term_ba3d9fa0b2c2","KU_JTG_5210_2018_1_6a7b8c9d","MENTIONED_IN_KU"
"term_5fd3ac1d158e","KU_JTG_5150_2020_4_8a9b2c1d","MENTIONED_IN_KU"
"term_5fd3ac1d158e","KU_JTG_5210_2018_1_6a7b8c9d","MENTIONED_IN_KU"
"term_601bd17af029","KU_JTG_5210_2018_1_6a7b8c9d","MENTIONED_IN_KU"
"term_46418a3e872f","KU_JTG_5150_2020_9.4.3_8a7b6c5d","MENTIONED_IN_KU"
"term_46418a3e872f","KU_JTG_5150_2020_9.2.5_8a7b3c1d","MENTIONED_IN_KU"
"term_46418a3e872f","KU_JTG_5210_2018_1_6a7b8c9d","MENTIONED_IN_KU"
"term_5a9434b01558","KU_JTG_5210_2018_2_6a7b8c9d","MENTIONED_IN_KU"
"term_51f190b423bb","KU_JTG_5210_2018_2_6a7b8c9d","MENTIONED_IN_KU"
"term_51f190b423bb","KU_JTG_5210_2018_2_9e8f7a6b","MENTIONED_IN_KU"
"term_34306bf4b917","KU_JTG_5210_2018_2_6a7b8c9d","MENTIONED_IN_KU"
"term_34306bf4b917","KU_JTG_5150_2020_3_8a7b2c1d","MENTIONED_IN_KU"
"term_a1cc9426acdf","KU_JTG_5210_2018_2_6a7b8c9d","MENTIONED_IN_KU"
"term_a1cc9426acdf","KU_JTG_5150_2020_3_8a7b2c1d","MENTIONED_IN_KU"
"term_7f004b0366ab","KU_JTG_5150_2020_9.2.4_8a7b6c5d","MENTIONED_IN_KU"
"term_7f004b0366ab","KU_JTG_5150_2020_1_8a7b3c9d","MENTIONED_IN_KU"
"term_7f004b0366ab","KU_JTG_5150_2020_9.2.1_8f3a1b2c","MENTIONED_IN_KU"
"term_7f004b0366ab","KU_JTG_5150_2020_9.5.1_8a7b6c5d","MENTIONED_IN_KU"
"term_7f004b0366ab","KU_JTG_5150_2020_9.5.2_8a7b6c5d","MENTIONED_IN_KU"
"term_de0d58fcab41","KU_JTG_5210_2018_2_6a7b8c9d","MENTIONED_IN_KU"
"term_de0d58fcab41","KU_JTG_5150_2020_3_8a7b2c1d","MENTIONED_IN_KU"
"term_6d2e734b63f0","KU_JTG_5210_2018_2_6a7b8c9d","MENTIONED_IN_KU"
"term_6d2e734b63f0","KU_JTG_5150_2020_3_8a7b2c1d","MENTIONED_IN_KU"
